Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,blue,red,green,nir,swir16,swir22,NDMI,MNDWI,NDVI,NDTI,NDBI,SAVI,pet,ppt,tmax,aet,def,q,vpd,ws,soil,elevation,Month,Quarter,Week_of_year,season_autumn,season_spring,season_summer,season_winter,Month_sin,Month_cos,Week_of_year_sin,Week_of_year_cos,dist_johannesburg,dist_cape_town
-28.761,17.73,2011-01-02,128.912,555.0,10.0,9557.0,12802.0,11426.0,11190.0,7687.5,7645.0,0.186,0.196,-0.067,0.057,-0.186,-0.101,174.2,32.7,36.1,31.1,143.1,1.6,2.92,2.02,0.0,163.0,1,1,52,0,0,1,0,0.5,0.866,-0.118,0.993,1056.473,578.338
-26.861,28.885,2011-01-03,74.72,162.9,163.0,8691.0,9241.5,9550.0,17658.5,13746.5,10574.0,0.125,-0.18,0.313,-0.016,-0.125,0.469,124.1,51.1,27.16,53.8,70.3,2.6,0.95,1.85,12.8,1518.064,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,110.557,1273.675
-26.45,28.086,2011-01-03,89.254,573.0,80.0,9502.5,12540.0,10720.0,15210.0,17974.0,14201.0,-0.083,-0.253,0.096,0.078,0.083,0.144,127.5,62.7,27.52,60.8,66.7,3.1,1.02,1.82,6.8,1470.731,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,27.479,1245.852
-27.671,27.237,2011-01-03,82.0,203.6,101.0,9693.5,11237.5,10943.0,14887.0,13522.0,11403.0,0.048,-0.105,0.14,0.013,-0.048,0.21,129.7,84.2,28.87,83.2,46.5,4.2,1.22,1.89,7.2,1337.107,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,181.846,1091.774
-27.357,27.286,2011-01-03,56.1,145.1,151.0,8718.0,9290.0,9502.5,16828.5,12665.5,9643.0,0.141,-0.143,0.289,-0.011,-0.141,0.433,129.2,78.0,28.67,77.3,51.9,3.9,1.18,1.84,7.8,1357.408,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,148.798,1118.93
-27.01,26.698,2011-01-04,82.2,289.8,192.0,9344.0,10728.5,10433.5,12433.5,9579.5,8531.5,0.13,0.043,0.074,0.014,-0.13,0.11,98.6,106.0,24.18,98.6,0.0,5.3,0.91,2.34,5.9,1281.681,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,161.467,1104.476
-25.128,27.629,2011-01-04,125.0,438.0,163.0,4984.0,5122.0,5189.5,7814.0,6664.0,5222.0,0.079,-0.124,0.208,-0.007,-0.079,0.312,105.5,135.1,27.17,105.5,0.0,6.8,1.05,2.0,24.0,951.591,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,126.99,1322.331
-25.206,27.558,2011-01-04,116.62,568.0,69.0,10039.0,9985.0,10466.5,14137.5,10315.5,8536.0,0.156,0.007,0.172,-0.024,-0.156,0.258,103.7,143.4,27.0,103.7,0.0,7.2,1.04,1.92,33.6,950.863,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,121.478,1311.05
-24.695,27.409,2011-01-04,181.831,583.0,158.0,9921.0,10524.0,10647.0,15543.0,11919.5,9642.5,0.132,-0.056,0.193,-0.006,-0.132,0.289,111.8,141.1,27.74,111.8,0.0,7.1,1.12,2.25,23.6,912.183,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,179.789,1345.626
-26.985,26.632,2011-01-04,196.0,452.0,158.0,9414.0,10262.5,10207.0,13683.0,14011.5,11850.5,-0.012,-0.157,0.143,0.003,0.012,0.214,98.2,109.3,24.35,98.2,0.0,5.5,0.93,2.22,10.7,1277.648,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,165.467,1102.013
-28.142,26.418,2011-01-04,94.718,227.9,132.0,9085.5,9679.0,9840.0,14391.0,13799.5,11265.0,0.021,-0.167,0.196,-0.008,-0.021,0.294,93.8,90.9,23.88,87.7,6.1,4.5,0.91,2.12,4.8,1266.673,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,269.155,996.912
-27.399,26.615,2011-01-04,86.8,226.3,114.0,9253.5,10126.0,10247.0,15515.5,12823.0,10403.5,0.095,-0.112,0.21,-0.006,-0.095,0.315,100.9,97.2,24.8,92.7,8.2,4.9,0.98,2.36,2.9,1257.285,1,1,1,0,0,1,0,0.5,0.866,0.118,0.993,194.675,1067.887
