Latitude,Longitude,Sample Date,aet,def,q
-28.760833,17.730278,02-01-2011,31.1,143.1,1.6
-26.861111,28.884722,03-01-2011,53.8,70.3,2.6
-26.45,28.085833,03-01-2011,60.8,66.700005,3.1
-27.671111,27.236944,03-01-2011,83.200005,46.5,4.2
-27.356667,27.286389,03-01-2011,77.3,51.9,3.9000000000000004
-27.01011111,26.69808333,04-01-2011,98.6,0.0,5.300000000000001
-25.127778,27.628889,04-01-2011,105.5,0.0,6.800000000000001
-25.20639,27.558,04-01-2011,103.700005,0.0,7.2
-24.69514,27.40906,04-01-2011,111.8,0.0,7.1000000000000005
-26.98472222,26.63227778,04-01-2011,98.200005,0.0,5.5
-28.141944,26.417778,04-01-2011,87.700005,6.1,4.5
-27.398611,26.614722,04-01-2011,92.700005,8.2,4.9
-33.501667,21.624167,04-01-2011,15.5,84.700005,0.8
-32.502778,19.535833,04-01-2011,15.400001,104.5,0.8
-25.45963889,28.26430556,04-01-2011,103.6,0.0,7.1000000000000005
-27.495556,26.074722,04-01-2011,94.5,5.2000003,5.0
-26.648056,27.089444,05-01-2011,70.5,13.0,3.2
-26.970278,27.211111,05-01-2011,72.5,9.6,3.3000000000000003
-27.38972222,26.46388889,05-01-2011,83.200005,0.0,4.9
-27.044444,27.005,05-01-2011,75.6,6.8,3.7
-30.830556,26.921389,06-01-2011,53.100002,3.9,2.7
-27.00222,28.76528,06-01-2011,37.100002,32.9,1.3
-27.02314,28.59389,06-01-2011,32.600002,39.8,1.3
-30.679722,26.7125,06-01-2011,44.4,15.400001,2.2
-30.160091,27.40124,06-01-2011,54.0,3.4,2.7
-32.595833,19.009444,06-01-2011,52.7,0.0,3.7
-25.99136,27.84208,10-01-2011,46.7,126.5,2.4000000000000004
-26.73806,27.59194,10-01-2011,38.5,140.90001,2.0
-26.45,28.085833,10-01-2011,43.9,129.0,2.3000000000000003
-30.86013889,29.07125,10-01-2011,30.1,107.9,1.4000000000000001
-27.356667,27.286389,10-01-2011,30.5,155.3,1.6
-27.01011111,26.69808333,11-01-2011,42.3,149.40001,2.2
-25.73411,27.21422,11-01-2011,54.2,128.3,2.8000000000000003
-26.98472222,26.63227778,11-01-2011,42.4,149.6,2.2
-27.398611,26.614722,11-01-2011,43.2,154.2,2.3000000000000003
-27.671111,27.236944,11-01-2011,40.5,151.6,2.1
-29.160278,26.573333,11-01-2011,28.4,170.7,1.5
-34.250556,20.9925,11-01-2011,52.8,87.4,2.6
-25.45963889,28.26430556,11-01-2011,52.2,130.6,2.7
-25.81048333,27.90955222,12-01-2011,96.1,68.0,5.0
-27.273889,28.49,12-01-2011,100.1,64.200005,5.2
-27.4275,28.525833,12-01-2011,102.8,60.8,5.4
-28.883333,27.89,12-01-2011,101.0,63.2,5.300000000000001
-27.00222,28.76528,13-01-2011,91.200005,70.4,4.800000000000001
-27.02314,28.59389,13-01-2011,93.3,69.8,4.9
-30.534167,24.961944,13-01-2011,42.600002,162.40001,2.2
-28.460833,21.248889,13-01-2011,49.600002,195.1,2.6
-29.658056,25.973333,14-01-2011,67.700005,119.200005,3.6
-28.760833,17.730278,16-01-2011,1.2,256.30002,0.1
-25.513889,31.224444,17-01-2011,102.200005,47.2,5.300000000000001
-26.861111,28.884722,17-01-2011,85.200005,75.8,4.5
-31.554722,29.245556,17-01-2011,115.3,8.400001,5.300000000000001
-28.058889,30.373611,17-01-2011,95.0,63.0,5.0
-25.127778,27.628889,18-01-2011,107.1,62.2,5.6000000000000005
-25.20639,27.558,18-01-2011,108.0,62.0,5.6000000000000005
-24.69514,27.40906,18-01-2011,115.6,57.3,6.0
-25.681111,31.783333,18-01-2011,63.100002,86.1,3.3000000000000003
-27.802778,28.768333,18-01-2011,102.8,56.3,5.4
-27.398611,26.614722,18-01-2011,80.9,111.0,4.2
-31.104278,29.399722,18-01-2011,115.700005,18.4,5.1000000000000005
-31.396,29.2651,18-01-2011,119.5,15.0,4.9
-33.38056,19.30167,18-01-2011,14.400001,179.90001,0.7000000000000001
-33.31388889,19.07472222,18-01-2011,15.1,190.8,0.7000000000000001
-27.495556,26.074722,18-01-2011,76.3,117.9,4.0
-24.39619444,27.08983333,19-01-2011,92.6,76.6,4.800000000000001
-26.970278,27.211111,19-01-2011,91.8,82.1,4.800000000000001
-26.880278,26.965,19-01-2011,89.6,85.9,4.7
-27.273889,28.49,19-01-2011,100.1,64.200005,5.2
-27.3,28.586944,19-01-2011,99.1,64.3,5.2
-27.044444,27.005,19-01-2011,89.200005,89.5,4.7
-30.568333,29.422778,19-01-2011,101.5,36.2,5.300000000000001
-30.570833,29.150556,19-01-2011,104.1,34.8,5.4
-34.031944,22.053333,19-01-2011,20.6,136.90001,1.0
-33.13083,18.86278,19-01-2011,12.7,194.40001,0.6000000000000001
-33.7075,18.97444444,19-01-2011,21.2,179.1,1.0
-25.57877778,29.12747222,19-01-2011,97.8,63.8,5.1000000000000005
-26.006389,29.253889,20-01-2011,92.3,59.7,4.800000000000001
-27.02314,28.59389,20-01-2011,93.3,69.8,4.9
-30.679722,26.7125,20-01-2011,64.9,116.0,3.4000000000000004
-28.460833,21.248889,20-01-2011,49.600002,195.1,2.6
-30.77586667,29.03221667,20-01-2011,100.200005,41.3,5.2
-24.925278,29.324444,21-01-2011,104.5,57.9,5.5
-28.460833,21.248889,21-01-2011,49.600002,195.1,2.6
-24.679167,30.8025,24-01-2011,141.7,1.6,7.4
-25.99136,27.84208,24-01-2011,94.200005,66.9,4.9
-25.49037,30.6986,24-01-2011,118.4,26.300001,6.1000000000000005
-26.970278,27.211111,24-01-2011,91.8,82.1,4.800000000000001
-27.671111,27.236944,24-01-2011,89.8,93.1,4.7
-27.356667,27.286389,24-01-2011,90.4,92.0,4.7
-27.01011111,26.69808333,25-01-2011,86.6,96.9,4.5
-26.98472222,26.63227778,25-01-2011,87.4,94.0,4.6000000000000005
-27.398611,26.614722,25-01-2011,80.9,111.0,4.2
-33.818056,19.694722,25-01-2011,12.900001,188.90001,0.6000000000000001
-25.45963889,28.26430556,25-01-2011,100.0,64.5,5.2
-33.897778,20.012778,25-01-2011,11.3,184.8,0.5
-25.81048333,27.90955222,26-01-2011,96.1,68.0,5.0
-34.065833,20.404167,26-01-2011,13.2,166.1,0.6000000000000001
-24.058889,31.237222,26-01-2011,60.100002,94.5,3.2
-26.648056,27.089444,26-01-2011,89.6,81.3,4.7
-26.880278,26.965,26-01-2011,89.6,85.9,4.7
-27.273889,28.49,26-01-2011,100.1,64.200005,5.2
-27.044444,27.005,26-01-2011,89.200005,89.5,4.7
-34.092222,21.295278,26-01-2011,16.9,156.2,0.8
-27.02314,28.59389,27-01-2011,93.3,69.8,4.9
-26.73806,27.59194,27-01-2011,92.0,76.1,4.800000000000001
-28.760833,17.730278,30-01-2011,1.2,256.30002,0.1
-26.861111,28.884722,31-01-2011,85.200005,75.8,4.5
-26.73806,27.59194,31-01-2011,92.0,76.1,4.800000000000001
-25.127778,27.628889,01-02-2011,107.1,62.2,5.6000000000000005
-24.69514,27.40906,01-02-2011,115.6,57.3,6.0
-27.363611,31.783333,01-02-2011,72.3,82.1,3.8000000000000003
-27.802778,28.768333,01-02-2011,102.8,56.3,5.4
-29.160278,26.573333,01-02-2011,80.4,109.700005,4.2
-34.329722,18.990278,01-02-2011,27.2,131.0,1.2000000000000002
-25.20639,27.558,02-02-2011,108.0,62.0,5.6000000000000005
-23.281,30.54305556,03-02-2011,95.0,59.4,5.0
-28.801278,31.955389,03-02-2011,87.6,62.600002,4.5
-27.00222,28.76528,03-02-2011,91.200005,70.4,4.800000000000001
-27.02314,28.59389,03-02-2011,93.3,69.8,4.9
-27.3,28.586944,03-02-2011,99.1,64.3,5.2
-30.679722,26.7125,03-02-2011,64.9,116.0,3.4000000000000004
-28.460833,21.248889,03-02-2011,49.600002,195.1,2.6
-28.460833,21.248889,04-02-2011,49.600002,195.1,2.6
-29.140556,31.391944,07-02-2011,103.6,39.9,5.4
-25.99136,27.84208,07-02-2011,94.200005,66.9,4.9
-24.058889,31.237222,07-02-2011,60.100002,94.5,3.2
-26.73806,27.59194,07-02-2011,92.0,76.1,4.800000000000001
-30.86013889,29.07125,07-02-2011,97.700005,42.9,5.1000000000000005
-27.356667,27.286389,07-02-2011,90.4,92.0,4.7
-28.058889,30.373611,07-02-2011,95.0,63.0,5.0
-27.01011111,26.69808333,08-02-2011,86.6,96.9,4.5
-27.169444,29.233889,08-02-2011,86.0,71.3,4.5
-26.98472222,26.63227778,08-02-2011,87.4,94.0,4.6000000000000005
-27.398611,26.614722,08-02-2011,80.9,111.0,4.2
-27.573056,24.746389,08-02-2011,71.5,136.90001,3.8000000000000003
-33.501667,21.624167,08-02-2011,12.400001,176.7,0.7000000000000001
-32.502778,19.535833,08-02-2011,4.7000003,228.7,0.2
-25.45963889,28.26430556,08-02-2011,100.0,64.5,5.2
-26.970278,27.211111,09-02-2011,91.8,82.1,4.800000000000001
-27.273889,28.49,09-02-2011,100.1,64.200005,5.2
-28.69485,28.23487,09-02-2011,98.6,62.100002,5.2
-28.883333,27.89,09-02-2011,101.0,63.2,5.300000000000001
-27.02314,28.59389,10-02-2011,93.3,69.8,4.9
-30.679722,26.7125,10-02-2011,64.9,116.0,3.4000000000000004
-30.534167,24.961944,10-02-2011,42.600002,162.40001,2.2
-34.031944,22.053333,10-02-2011,20.6,136.90001,1.0
-34.039722,22.133333,10-02-2011,21.6,134.40001,1.1
-32.595833,19.009444,10-02-2011,7.6,210.90001,0.4
-28.801278,31.955389,11-02-2011,87.6,62.600002,4.5
-29.658056,25.973333,11-02-2011,67.700005,119.200005,3.6
-28.068333,31.55,11-02-2011,73.5,85.6,3.9000000000000004
-28.760833,17.730278,13-02-2011,1.2,256.30002,0.1
