Latitude,Longitude,Sample Date,vpd,ws,soil
-28.760833,17.730278,02-01-2011,2.9199998,2.02,0.0
-26.861111,28.884722,03-01-2011,0.95,1.8499999,12.8
-26.45,28.085833,03-01-2011,1.02,1.8199999,6.8
-27.671111,27.236944,03-01-2011,1.22,1.89,7.2000003
-27.356667,27.286389,03-01-2011,1.18,1.8399999,7.8
-27.01011111,26.69808333,04-01-2011,0.90999997,2.34,5.9
-25.127778,27.628889,04-01-2011,1.05,2.0,24.0
-25.20639,27.558,04-01-2011,1.04,1.92,33.600002
-24.69514,27.40906,04-01-2011,1.12,2.25,23.6
-26.98472222,26.63227778,04-01-2011,0.93,2.22,10.7
-28.141944,26.417778,04-01-2011,0.90999997,2.12,4.8
-27.398611,26.614722,04-01-2011,0.97999996,2.36,2.9
-33.501667,21.624167,04-01-2011,0.97999996,2.59,0.1
-32.502778,19.535833,04-01-2011,1.35,2.77,0.6
-25.45963889,28.26430556,04-01-2011,1.03,2.06,32.5
-27.495556,26.074722,04-01-2011,0.96,2.35,0.4
-26.648056,27.089444,05-01-2011,0.88,2.06,12.2
-26.970278,27.211111,05-01-2011,0.9,1.9799999,14.900001
-27.38972222,26.46388889,05-01-2011,0.98999995,1.91,9.7
-27.044444,27.005,05-01-2011,0.9,2.02,13.0
-30.830556,26.921389,06-01-2011,0.51,2.76,8.0
-27.00222,28.76528,06-01-2011,0.64,2.6799998,15.6
-27.02314,28.59389,06-01-2011,0.68,2.6699998,13.5
-30.679722,26.7125,06-01-2011,0.57,2.73,5.1
-30.160091,27.40124,06-01-2011,0.55,2.4299998,15.900001
-32.595833,19.009444,06-01-2011,0.65999997,1.93,19.1
-25.99136,27.84208,10-01-2011,1.4599999,3.0,6.3
-26.73806,27.59194,10-01-2011,1.48,3.3799999,5.3
-26.45,28.085833,10-01-2011,1.39,3.23,5.6
-30.86013889,29.07125,10-01-2011,1.03,2.8999999,9.900001
-27.356667,27.286389,10-01-2011,1.5799999,3.52,3.7
-27.01011111,26.69808333,11-01-2011,1.5799999,3.1899998,2.3
-25.73411,27.21422,11-01-2011,1.43,3.07,5.6
-26.98472222,26.63227778,11-01-2011,1.5999999,3.21,2.7
-27.398611,26.614722,11-01-2011,1.68,3.29,2.7
-27.671111,27.236944,11-01-2011,1.5699999,3.21,2.9
-29.160278,26.573333,11-01-2011,1.61,3.6899998,2.7
-34.250556,20.9925,11-01-2011,0.76,4.0099998,12.3
-25.45963889,28.26430556,11-01-2011,1.51,2.9199998,5.7000003
-25.81048333,27.90955222,12-01-2011,1.3299999,2.45,5.1
-27.273889,28.49,12-01-2011,1.24,2.46,4.4
-27.4275,28.525833,12-01-2011,1.22,2.48,3.8
-28.883333,27.89,12-01-2011,1.18,2.53,3.3
-27.00222,28.76528,13-01-2011,1.22,2.3899999,5.0
-27.02314,28.59389,13-01-2011,1.25,2.4199998,4.8
-30.534167,24.961944,13-01-2011,1.7099999,3.29,0.0
-28.460833,21.248889,13-01-2011,2.6299999,3.34,0.0
-29.658056,25.973333,14-01-2011,1.4399999,3.06,2.2
-28.760833,17.730278,16-01-2011,3.03,3.53,0.0
-25.513889,31.224444,17-01-2011,1.02,2.02,13.2
