Latitude,Longitude,Sample Date,pet,ppt,tmax
-28.760833,17.730278,02-01-2011,174.2,32.7,36.1
-26.861111,28.884722,03-01-2011,124.1,51.1,27.16
-26.45,28.085833,03-01-2011,127.5,62.7,27.519999
-27.671111,27.236944,03-01-2011,129.7,84.2,28.869999
-27.356667,27.286389,03-01-2011,129.2,78.0,28.67
-27.01011111,26.69808333,04-01-2011,98.6,106.0,24.18
-25.127778,27.628889,04-01-2011,105.5,135.1,27.17
-25.20639,27.558,04-01-2011,103.700005,143.4,27.0
-24.69514,27.40906,04-01-2011,111.8,141.1,27.74
-26.98472222,26.63227778,04-01-2011,98.200005,109.30000000000001,24.35
-28.141944,26.417778,04-01-2011,93.8,90.9,23.88
-27.398611,26.614722,04-01-2011,100.9,97.2,24.8
-33.501667,21.624167,04-01-2011,100.200005,16.3,24.55
-32.502778,19.535833,04-01-2011,119.9,16.2,27.06
-25.45963889,28.26430556,04-01-2011,103.6,141.9,26.4
-27.495556,26.074722,04-01-2011,99.700005,99.5,24.73
-26.648056,27.089444,05-01-2011,83.5,63.300000000000004,21.92
-26.970278,27.211111,05-01-2011,82.1,66.7,21.859999
-27.38972222,26.46388889,05-01-2011,83.200005,97.4,22.81
-27.044444,27.005,05-01-2011,82.4,74.60000000000001,21.949999
-30.830556,26.921389,06-01-2011,57.0,54.1,14.589999
-27.00222,28.76528,06-01-2011,70.0,26.400000000000002,17.38
-27.02314,28.59389,06-01-2011,72.4,27.0,17.869999
-30.679722,26.7125,06-01-2011,59.8,44.900000000000006,15.74
-30.160091,27.40124,06-01-2011,57.4,53.800000000000004,14.62
-32.595833,19.009444,06-01-2011,52.7,73.2,19.279999
-25.99136,27.84208,10-01-2011,173.2,48.0,28.539999
-26.73806,27.59194,10-01-2011,179.40001,39.5,28.34
-26.45,28.085833,10-01-2011,172.90001,45.300000000000004,27.91
-30.86013889,29.07125,10-01-2011,138.0,28.8,25.609999
-27.356667,27.286389,10-01-2011,185.8,31.6,29.06
-27.01011111,26.69808333,11-01-2011,191.7,44.300000000000004,30.09
-25.73411,27.21422,11-01-2011,182.5,56.2,29.99
-26.98472222,26.63227778,11-01-2011,192.0,44.300000000000004,30.16
-27.398611,26.614722,11-01-2011,197.40001,45.2,30.63
-27.671111,27.236944,11-01-2011,192.1,42.2,30.029999
-29.160278,26.573333,11-01-2011,199.1,29.5,29.3
-34.250556,20.9925,11-01-2011,140.2,51.900000000000006,24.189999
-25.45963889,28.26430556,11-01-2011,182.8,54.2,31.4
-25.81048333,27.90955222,12-01-2011,164.1,100.5,28.97
